	effect	std_err	p-val	# SGB. used	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
BedarfJR_2017_in_DEU-PD	-3.265765967052705	2.123883410800439	0.131819432844726	16	-7.428577452221566|0.8970455181161561	19	26	15.31578947368421	12.076923076923077	7.834153510037734	5.261785869126981
FanY_2023_in_DNK-anorexia	-0.0037551951945933304	2.3428372585090784	0.9987234846929977	46	-4.595716221872387|4.588205831483201	68	71	19.426470588235293	23.04225352112676	5.510194232913125	9.732241494080762
FengQ_2015_in_AUT-CRC	6.240772323324963	2.135523911584046	0.004278618541562994	67	2.0551454566202327|10.426399190029693	61	46	30.639344262295083	36.54347826086956	10.83260528566079	10.711039655906282
JieZ_2017_in_CHN-ACVD	4.8867629590221515	1.347994329934272	0.00033909060209266724	87	2.2446940723509785|7.5288318456933245	156	149	32.12820512820513	37.47651006711409	10.503795375541918	11.70474801417792
KarlssonFH_2013_in_SWE-IGT	7.0270142940631715	2.333431310214385	0.0033934305619179386	58	2.4534889260429775|11.600539662083365	43	49	25.046511627906977	32.6530612244898	9.444953096445255	12.112653226272311
KarlssonFH_2013_in_SWE-T2D	4.836275863428401	2.3485647852978815	0.04229673322759561	59	0.23308888424455354|9.439462842612249	43	53	25.046511627906977	31.22641509433962	9.444953096445255	12.096532341775523
MetaCardis_2020_a_in_FRA-IGT	0.3143348934308465	1.0568016867917653	0.7663225534208347	74	-1.7569964126810136|2.3856661995427064	176	151	21.017045454545453	23.31788079470199	8.70897814680748	8.822285794214373
MetaCardis_2020_a_in_FRA-T2D	1.3066464864730667	0.9404657816035076	0.16539368075093008	80	-0.536666445469808|3.1499594184159414	176	290	21.017045454545453	23.33448275862069	8.70897814680748	9.225256780355538
MetaCardis_2020_a_in_FRA-CAD	1.0394304182269467	1.2578698976410314	0.40930149778016156	68	-1.425994581149475|3.5048554176033684	176	114	21.017045454545453	21.403508771929825	8.70897814680748	9.049298992182933
MetaCardis_2020_a_in_FRA-HF	0.8264222879636414	2.0360856112740353	0.6852793918213131	56	-3.1643055101334676|4.81715008606075	176	20	21.017045454545453	20.9	8.70897814680748	6.518435395092905
